 COUNTRY,name_long
1,Argentina
2,Bolivia
3,Brazil
4,Chile
5,Colombia
6,Costa Rica
7,Ecuador
8,Guatemala
9,Honduras
10,Mexico
11,Panama
12,Peru
13,Uruguay
14,Venezuela
15,Egypt
16,Kenya
17,Malawi
18,Nigeria
19,South Africa
20,Zambia
21,Zimbabwe
22,Bahrain
23,China
24,Taiwan
25,Hong Kong
26,India
27,Iran
28,Israel
29,Japan
30,Kuwait
31,Malaysia
32,Oman
33,Pakistan
34,Saudi Arabia
35,Singapore
36,South Korea
38,Thailand
39,Turkey
40,United Arab Emirates
41,Russian Federation
42,Australia
43,New Zealand
44,Iceland
45,Bahamas
46,Barbados
47,Bermuda
48,Dominican Republic
49,Jamaica
50,Nether Antilles
51,Trinidad and Tobago
52,Austria
53,Belgium
54,Czech Republic
55,Denmark
56,Finland
57,France
58,Greece
59,Hungary
60,Italy
61,Luxembourg
62,Netherlands
63,Norway
64,Poland
65,Portugal
66,Romania
67,Spain
68,Sweden
69,Switzerland
70,Germany
71,Yogoslavia
72,Cyprus
73,Malta
74,Indonesia
75,Papua New Guinea
76,Philippines
77,Channel Islands
78,United Kingdom
79,Ireland
80,Northern Ireland
81,Scotland
82,Wales
83,Canada
84,United States
